id,latitude,longitude,part_nmbr,serial_nmbr,information,information2,dimension,weight,origin,mobileapp_version_number,gps_precision,gps_age,gps_altitude,organizations_id,users_id,created,modified,modified_merged,crud,deleted,modified_timezone,object_categories_id,object_types_id,object_events_id,object_statuses_id,Detected
412404638,56.309735784497,10.626780305732,,,,,,,MobileApp,6.1.6373,0,1586894287481,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:58:07,U,,2020-04-14T19:58:07,100533,301432,500772,701063,42069
412404639,56.309625567018,10.626612801133,,,,,,,MobileApp,6.1.6373,0,1586894296085,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:58:16,U,,2020-04-14T19:58:16,100533,301432,500772,701063,42069
412404640,56.309516301097,10.62644696826,,,,,,,MobileApp,6.1.6373,0,1586894305937,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:58:25,U,,2020-04-14T19:58:25,100533,301432,500772,701063,42069
412404641,56.309405757473,10.62627944599,,,,,,,MobileApp,6.1.6373,0,1586894315057,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:58:35,U,,2020-04-14T19:58:35,100533,301432,500772,701063,42069
412404642,56.309296897008,10.626112818649,,,,,,,MobileApp,6.1.6373,0,1586894326070,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:58:46,U,,2020-04-14T19:58:46,100533,301432,500772,701063,42069
412404643,56.309186534006,10.625945307979,,,,,,,MobileApp,6.1.6373,0,1586894336569,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:58:56,U,,2020-04-14T19:58:56,100533,301432,500772,701063,42069
412404644,56.309077527466,10.625778987307,,,,,,,MobileApp,6.1.6373,0,1586894345060,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:59:05,U,,2020-04-14T19:59:05,100533,301432,500772,701063,42069
412404645,56.308718350413,10.625489529019,,,,,,,MobileApp,6.1.6373,0,1586894383973,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:59:43,U,,2020-04-14T19:59:43,100533,301432,500772,701063,42069
412404646,56.308823212248,10.625264128587,,,,,,,MobileApp,6.1.6373,0,1586894357832,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:59:17,U,,2020-04-14T19:59:17,100533,301432,500772,701063,42069
412404647,56.308679473204,10.624949706427,,,,,,,MobileApp,6.1.6373,0,1586894365458,0,241136,630302021,2020-04-14T18:27:49,2020-04-14T20:02:40,2020-04-14T19:59:25,U,,2020-04-14T19:59:25,100533,301432,500772,701063,42069
